,CITY,STATE,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA
3844,Piranhas,AL,5802.0,3474.0,13056.0,7870.0,0.589,-37.75039291,-9.6235592,199784.23,7950.03
3845,Pirapemas,MA,4168.0,2745.0,11088.0,6233.0,0.58,-44.22828088,-3.725329066,110632.86,6044.85
3846,Pirapetinga,MG,3490.0,3083.0,9089.0,6046.0,0.71,-42.34843105,-21.65597201,461452.04,42537.98
3847,Pirapó,RS,966.0,279.0,777.0,513.0,0.669,-55.20030995,-28.04531584,58.09,21911.32
3848,Pirapora,MG,15157.0,14880.0,51887.0,33881.0,0.731,-44.95106538,-17.3495821,1685605.77,29847.47
3850,Pirapozinho,SP,7743.0,7380.0,23214.0,15357.0,0.78,-51.49958429,-22.27667549,722608.54,26952.95
3852,Piraquê,TO,864.0,310.0,1121.0,700.0,0.621,-48.29370739,-6.769777033,49310.42,16231.21
3853,Pirassununga,SP,22594.0,20769.0,64565.0,42341.0,0.8,-47.42517288,-21.9940493,2474550.7,32978.62
3854,Piratini,RS,7252.0,4346.0,11563.0,7246.0,0.66,-53.10473445,-31.44411247,344578.2,16600.58
3855,Piratininga,SP,3741.0,3209.0,9732.0,6318.0,0.779,-49.13725222,-22.41206594,193093.83,14610.61
3856,Piratuba,SC,1725.0,1058.0,2847.0,1923.0,0.758,-51.75864983,-27.41595355,761.09,180824.63
3857,Piraúba,MG,3479.0,2817.0,8768.0,5675.0,0.684,-43.01813081,-21.27655013,151605.39,13670.46
3858,Pirenópolis,GO,7293.0,4785.0,15437.0,10033.0,0.693,-48.96252719,-15.8533423,347412.55,14120.17
3860,Pires Ferreira,CE,2790.0,997.0,3353.0,1895.0,0.591,-40.64654125,-4.242154143,49204.77,4585.72
3861,Piripá,BA,3353.0,1756.0,6152.0,3901.0,0.575,-41.72486583,-14.94687091,66480.46,5523.93
3862,Piripiri,PI,17013.0,12507.0,44485.0,28048.0,0.635,-41.77850485,-4.276068693,642415.27,10246.67
3863,Piritiba,BA,6676.0,4564.0,15107.0,8912.0,0.578,-40.55132771,-11.737234,144639.43,5785.11
3864,Pirpirituba,PB,2946.0,2314.0,7890.0,4770.0,0.595,-35.49771579,-6.780800098,80.02,7570.07
3865,Pitanga,PR,10061.0,6425.0,20511.0,13225.0,0.7,-51.76315401,-24.75274775,815.97,25328.96
3866,Pitangueiras,SP,10635.0,10260.0,33863.0,22109.0,0.723,-48.22226575,-21.0109995,1028381.0,26673.78
3867,Pitangueiras,PR,853.0,632.0,2040.0,1286.0,0.71,-51.58576806,-23.23030385,67964.67,21874.69
3868,Pitangui,MG,7578.0,6804.0,22436.0,14696.0,0.725,-44.89011889,-19.68059724,409.88,14907.58
3869,Pitimbu,PB,4727.0,2975.0,10299.0,6304.0,0.57,-34.81393041,-7.482413396,275183.88,14530.78
3870,Pium,TO,1895.0,1170.0,3763.0,2313.0,0.65,-49.16665801,-10.44093112,150983.23,20274.37
3871,Piúma,ES,5769.0,5567.0,16852.0,11028.0,0.727,-40.72798094,-20.8376089,348776.64,16584.72
3872,Piumhi,MG,10680.0,9592.0,28288.0,18835.0,0.737,-45.96056867,-20.47088287,874917.87,25503.35
3873,Placas,PA,5438.0,1264.0,4816.0,2983.0,0.552,-54.21696813,-3.867315562,260578.35,8882.55
3875,Planaltina,GO,22875.0,21577.0,76106.0,48801.0,0.669,-47.61484677,-15.45310956,960799.85,10896.14
3877,Planaltino,BA,2563.0,1090.0,3618.0,2228.0,0.57,-40.36839736,-13.25660875,59180.21,6210.54
3878,Planalto,PR,4339.0,2029.0,5657.0,3595.0,0.706,-53.77085743,-25.7121015,297912.37,21421.76
3879,Planalto,BA,6896.0,4245.0,14844.0,8997.0,0.56,-40.48464038,-14.67016997,223298.6,8349.8
3880,Planalto,SP,1418.0,1220.0,3763.0,2479.0,0.72,-49.9257198,-21.0323282,272.41,54427.24
3881,Planalto,RS,3098.0,1916.0,5376.0,3444.0,0.687,-53.05888081,-27.33146388,183.07,17189.3
